No;X1;X2;X3;X4;X5;X6;X7;X8;X9;y
1;2.392054326;2.826007868;4.061760698;5.253442154;5.844053553;5.955379949;8.163404012;4.836356312;3.777899352;1.140281543
2;-0.557156606;1.427687868;-0.545983782;2.460130259;2.332321194;2.457374114;7.861826682;3.224353117;3.773358584;0.073399431
3;1.869860969;4.805057585;3.772818766;4.057016939;4.40052776;4.533565037;3.125401012;0.233339387;2.727195647;0.639792657
4;1.385305728;3.329872799;2.009982695;4.53671111;4.521725069;4.428625167;5.31465398;3.368483887;2.939955087;-0.168335846
5;1.579574663;4.309396404;3.615282245;7.619729631;7.554729991;7.373656367;4.963317502;0.475898859;4.50228912;1.101656749
6;1.888807191;3.607219739;2.317713926;4.54236615;4.746150447;4.711532817;4.307449298;5.490288717;7.193180522;1.02487033
7;-0.857783279;1.016781076;0.355836285;3.652786951;4.134893635;3.664157842;4.4429984;4.633359258;6.314102257;1.311998913
8;-0.545001583;0.84986809;-0.057189659;2.224304742;2.319118045;1.92640937;8.445968037;2.14439122;4.606252355;0.816775432
9;1.263874931;2.620759766;0.727987238;2.420536388;3.078344563;2.982471504;5.8553394;1.144474376;6.878750083;1.746824444
10;2.079882478;2.269929211;0.650393639;3.187650418;2.704784449;2.979455174;3.18802711;3.811791342;4.657907148;-0.820718059
11;0.739308025;2.576176579;0.160076228;5.403545242;5.407030966;5.308432464;8.336736461;4.416435076;3.99496435;0.650991939
12;-0.150766508;3.052285371;0.892143655;4.188722741;4.240024899;4.315024014;7.418407478;5.083274403;4.888282515;0.404708038
13;3.772154293;4.693774992;3.636833429;5.320703625;4.901822654;5.183469324;5.768780327;4.920412772;2.902901191;-1.260735827
14;2.916931718;3.67585662;3.317765946;6.492351181;7.382705336;7.098601117;5.469563037;5.46882522;6.262417933;1.044237835
15;2.007340606;1.561931134;0.31648004;2.174688306;2.450366208;3.295459402;1.891790648;2.064482835;1.728125845;-1.515217433
16;-3.691147624;0.462307027;-1.637130378;4.512862186;4.514925406;4.197441377;6.343332343;-3.277141723;3.135875893;1.672548315
17;1.514424875;3.720790668;2.239338948;6.238241299;6.607821809;6.161272465;6.887595511;4.058688705;5.604837393;0.714371688
18;6.358021076;5.752522637;5.905209709;9.337053609;9.911146574;11.10601528;7.458363339;4.111820029;5.787453588;-0.78173652
19;0.449783457;2.383417337;-0.464487622;4.938956199;5.126070255;4.613876806;6.336373687;2.439681559;2.276266475;0.794599654
20;3.192438467;4.233543398;3.78498712;3.806965855;4.171105371;4.257826467;7.022202106;7.233202312;3.661727451;0.509055992
21;3.24618243;4.705198254;3.172591164;6.986795607;7.66947458;7.284654694;3.847695633;7.541107301;2.830340679;0.732391802
22;-1.84675892;0.147143152;-1.106668362;5.420708886;4.797584229;5.661892922;3.911149162;2.58728482;3.581043074;-2.481043364
23;0.305695278;1.39756285;0.607686471;5.892047143;5.819506076;6.185100376;5.113326139;3.246595648;6.649909621;-0.21997321
24;1.398396726;0.684127133;0.534615193;5.695889575;5.064888928;5.325458964;5.084893128;0.64481258;2.313027552;-2.08772792
25;1.77269604;2.869547998;-0.208118525;3.744982873;3.605030401;4.059019405;4.728430801;2.728159435;0.854143952;-1.227223035
26;2.498462457;3.683716943;2.375817866;4.363550773;4.55932371;5.277723896;5.789040094;8.76561006;1.463920352;-1.164060511
27;2.516397284;1.526231842;-1.131798915;8.455760692;8.81717528;8.747169495;5.163161401;3.987274484;5.979306014;-0.591993406
28;0.140474633;0.01271912;0.169536245;4.003905151;3.379960558;3.119117046;8.068662854;4.552930863;2.402880572;-0.593424259
29;0.482824954;4.316637863;3.491486851;5.247488097;5.114098073;5.342584471;3.59903792;6.570135701;5.521942709;0.534270757
30;1.560944665;-0.15918248;3.165077727;4.718766295;4.88819739;4.391267602;4.864726773;-0.103312849;1.926226329;0.035530282
31;-0.881508711;-0.57389826;-0.359795506;5.000248296;4.654513794;4.963111838;6.500901514;5.261945227;2.050096394;-1.939237413
32;3.319002693;5.04177877;3.681146063;7.046718181;6.271832867;7.432725709;4.608465924;6.012975977;5.175668152;-1.894711939
33;2.005632527;3.581252085;1.768343005;5.276252233;5.095503819;5.26879235;7.563973713;2.46270166;6.281517847;0.069453861
34;3.76627191;5.250270261;4.947848559;6.415481548;6.741541162;7.466102629;2.451218081;6.49898553;7.491196564;0.320451758
35;-2.749549487;-1.265259867;-2.31762105;3.24916702;3.864488636;3.755257663;6.008313653;-1.753560367;5.879035644;1.010727054
36;5.172263352;7.012726152;5.510059362;5.491409387;5.570071471;5.273237992;13.10075744;9.274131798;6.321086403;1.050407307
37;1.668671623;3.054622592;4.278881408;6.948197658;7.077690706;6.324585389;6.883651713;2.272971056;4.757737934;1.484338066
38;2.052031712;2.028791652;1.509841248;7.23145806;7.997426278;8.270061045;6.38236403;4.608405257;3.267750642;0.201851738
39;3.06175218;3.87239101;2.951517352;4.518375228;4.621458651;4.215539598;6.57034408;7.841809336;4.521869396;0.574377473
40;-1.845071827;0.287428527;0.782366204;4.335248123;4.506102658;5.225081788;4.046978341;4.533597745;4.197070023;-0.539697819
41;1.778957622;2.862590955;2.816739654;3.781253593;3.625968647;3.875268891;5.59667694;4.186697754;3.833512413;-0.159399725
